orbit_id,mjd_tdb,x,y,z,vx,vy,vz
60232 (1999 VL148),59026.500800743466,-2.7107684183594647,-3.357509936202945,0.2265524889019057,0.006958876408195489,-0.0035922466453616364,0.0009413952987643609
60232 (1999 VL148),59027.0008007433,-2.707287736774538,-3.3593045187167982,0.22702308253143633,0.006963849303481117,-0.00358608231800272,0.0009409790387626194
60232 (1999 VL148),59027.50080074314,-2.703804569684655,-3.3610960174287245,0.2274934677600029,0.006968818426735052,-0.0035799114373040244,0.0009405616947688097
60232 (1999 VL148),59028.00080074298,-2.700318918977762,-3.36288442906153,0.22796364404539982,0.00697378377023387,-0.0035737340011762443,0.0009401432659440975
60232 (1999 VL148),59028.50080074281,-2.69683078654567,-3.364669750336981,0.2284336108450018,0.006978745326240297,-0.0035675500075333156,0.00093972375144909
60232 (1999 VL148),59029.00080074265,-2.6933401742840624,-3.3664519779757973,0.22890336761576413,0.006983703087003157,-0.0035613594542925585,0.0009393031504438299
60232 (1999 VL148),59029.500800742484,-2.689847084092501,-3.3682311086976604,0.22937291381422065,0.006988657044757321,-0.003555162339374825,0.0009388814620877865
60232 (1999 VL148),59030.000800742324,-2.686351517874435,-3.370007139221213,0.2298422488964864,0.006993607191723658,-0.0035489586607046525,0.000938458685539847
60232 (1999 VL148),59030.50080074216,-2.682853477537207,-3.371780066264061,0.23031137231825527,0.006998553520108997,-0.003542748416210432,0.0009380348199583086
60232 (1999 VL148),59031.00080074199,-2.6793529649920576,-3.373549886542774,0.23078028353479896,0.007003496022106069,-0.003536531603824569,0.0009376098645008687
60232 (1999 VL148),59031.50080074182,-2.675849982154136,-3.375316596772892,0.23124898200096955,0.007008434689893482,-0.0035303082214836637,0.0009371838183246144
60232 (1999 VL148),59032.00080074166,-2.672344530942506,-3.377080193668922,0.23171746717119657,0.007013369515635667,-0.00352407826712869,0.0009367566805860117
